ShiftDate,ActualDate,Shift,ProdCat,CycleTime,BCT,Line,Model,PlanMP,Leader,Good,Reject,GrossOutput,StartTime,StopTime,GrossAvailability,ScheduleTimeMin,ScheduledBreak,MaterialShort,DefectiveComponent,COOnline,PredictiveMaintenance,EquipmentDT,ProcessQualityDT,OtherDT,TotalDowntime,NetOperatingTime,NetOutput,IdealOperatingTime,Availability,Performance,Quality,ActualOEE,TargetOEE,ActualPPH,SORemark,ProdRemark,AVLoss,PFLoss,QLoss,
2023-12-01,12/1/2023 8:16:49 AM,Day,JBJ/JTE,14.48,14.47,Line1,JTE769,5.0,SHANKAR,352,0,352,12/1/2023 8:16:49 AM,12/1/2023 9:51:10 AM,1.57,94.20,0.00,0.00,0.00,2.90,0.00,0.00,0.00,2.30,5.20,89.00,370.56,84.890000,0.944900,0.951700,1.000000,0.899300,0.810000,47.35,176138-0,,,,,
2023-12-01,12/1/2023 4:52:02 PM,Day,JBJ/JTE,10.16,10.17,Line3,JTE986.ZFB,6.0,SHANKAR,685,0,685,12/1/2023 4:52:02 PM,12/1/2023 7:58:49 PM,3.11,186.60,19.60,0.00,0.00,9.70,0.00,0.00,0.00,0.00,29.30,157.30,1044.83,116.110000,0.843100,0.737200,1.000000,0.621500,0.810000,43.49,176139-0,,,,,
2023-12-01,12/1/2023 8:01:35 PM,Night,JBJ/JTE,12.20,12.20,Line3,JTE986.ZFB,5.0,HAFIZ,215,0,215,12/1/2023 8:01:35 PM,12/1/2023 9:00:39 PM,0.98,58.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.80,289.25,43.720000,1.000000,0.739700,1.000000,0.739700,0.810000,43.65,176139-1,,,,,
2023-12-01,12/1/2023 8:11:40 AM,Day,JBJ/JTE,10.16,10.17,Line3,JTE994.ZFB,6.0,RIZMAN,600,0,600,12/1/2023 8:11:40 AM,12/1/2023 10:41:40 AM,2.50,150.00,16.30,15.30,0.00,0.00,0.00,0.00,0.00,0.00,31.60,118.40,793.36,101.700000,0.789300,0.859000,1.000000,0.678000,0.810000,50.68,176140-0,,,,,
2023-12-01,12/1/2023 8:11:01 PM,Night,JTS,19.97,19.97,Line1,JTS1748.ZFB,6.0,AH SIEW,1425,0,1425,12/1/2023 8:11:01 PM,12/2/2023 7:55:09 AM,11.74,704.40,80.30,0.00,0.00,0.00,0.30,0.00,0.00,9.20,89.80,614.60,2087.18,474.290000,0.872500,0.772100,1.000000,0.673700,0.810000,23.20,176142-0,,,,,
2023-12-01,12/2/2023 1:03:22 AM,Night,JTC,28.49,23.91,Line5,JTC1152.ZFB,4.0,KAMIL,333,0,333,12/2/2023 1:03:22 AM,12/2/2023 4:28:50 AM,3.42,205.20,17.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.60,187.60,432.15,132.700000,0.914400,0.706200,1.000000,0.645700,0.760000,26.58,176147-0,,,,,
2023-12-01,12/1/2023 2:46:13 PM,Day,JTC,56.98,31.36,Line12,JTC1290.ZFB,2.0,ROSHAN,26,0,26,12/1/2023 2:46:13 PM,12/1/2023 3:47:44 PM,1.02,61.20,14.60,0.00,0.00,0.00,0.00,0.00,0.00,1.10,15.70,45.50,63.81,13.590000,0.744700,0.296700,1.000000,0.221000,0.760000,17.03,176149-0,,,,,
2023-12-01,12/1/2023 5:13:42 PM,Day,JTC,56.98,31.36,Line12,JTC1290.ZFB,2.0,ROSHAN,375,0,375,12/1/2023 5:13:42 PM,12/1/2023 7:20:14 PM,2.11,126.60,18.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.50,108.10,133.31,196.000000,0.853800,1.000000,1.000000,0.853800,0.760000,104.17,176149-1,,,,,
2023-12-01,12/1/2023 11:42:48 AM,Day,JTC,37.99,26.69,Line5,JTC2172.ZFB,3.0,ROSHAN,48,0,48,12/1/2023 11:42:48 AM,12/1/2023 1:03:25 PM,1.34,80.40,32.40,0.00,0.00,10.40,0.00,0.00,0.00,0.00,42.80,37.60,110.88,21.350000,0.469000,0.564900,1.000000,0.264900,0.760000,25.40,176151-0,,,,,
2023-12-01,12/1/2023 2:32:07 PM,Day,JTC,37.99,26.69,Line5,JTC2172.ZFB,3.0,ROSHAN,510,0,510,12/1/2023 2:32:07 PM,12/1/2023 6:53:54 PM,4.36,261.60,32.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.20,229.40,413.20,226.870000,0.877000,0.988100,1.000000,0.866600,0.760000,44.43,176151-1,,,,,
